Part,State,Role,Question,Answer,n,Perc
two,Nebraska,Decision influencer,DrifRed,No,2,4
two,Nebraska,Decision influencer,DrifRed,Yes,55,96
two,Nebraska,Farmer,DrifRed,No,12,13
two,Nebraska,Farmer,DrifRed,Not sure,4,4
two,Nebraska,Farmer,DrifRed,Yes,79,83
two,Wisconsin,Decision influencer,DrifRed,No,1,4
two,Wisconsin,Decision influencer,DrifRed,Not sure,1,4
two,Wisconsin,Decision influencer,DrifRed,Yes,22,92
two,Wisconsin,Farmer,DrifRed,No,12,34
two,Wisconsin,Farmer,DrifRed,Not sure,2,6
two,Wisconsin,Farmer,DrifRed,Yes,21,60
two,Nebraska,Decision influencer,IncludeGLY,No,3,5
two,Nebraska,Decision influencer,IncludeGLY,Yes,54,95
two,Nebraska,Farmer,IncludeGLY,No,19,19
two,Nebraska,Farmer,IncludeGLY,Not sure,3,3
two,Nebraska,Farmer,IncludeGLY,Yes,78,78
two,Wisconsin,Decision influencer,IncludeGLY,No,3,13
two,Wisconsin,Decision influencer,IncludeGLY,Not sure,1,4
two,Wisconsin,Decision influencer,IncludeGLY,Yes,19,83
two,Wisconsin,Farmer,IncludeGLY,No,16,44
two,Wisconsin,Farmer,IncludeGLY,Yes,20,56
two,Nebraska,Decision influencer,IncludePOST,No,13,24
two,Nebraska,Decision influencer,IncludePOST,Not sure,1,2
two,Nebraska,Decision influencer,IncludePOST,Yes,41,74
two,Nebraska,Farmer,IncludePOST,No,39,39
two,Nebraska,Farmer,IncludePOST,Not sure,9,9
two,Nebraska,Farmer,IncludePOST,Yes,53,52
two,Wisconsin,Decision influencer,IncludePOST,No,9,41
two,Wisconsin,Decision influencer,IncludePOST,Not sure,2,9
two,Wisconsin,Decision influencer,IncludePOST,Yes,11,50
two,Wisconsin,Farmer,IncludePOST,No,26,74
two,Wisconsin,Farmer,IncludePOST,Yes,9,26
two,Nebraska,Decision influencer,IncludeG15,No,8,16
two,Nebraska,Decision influencer,IncludeG15,Not sure,3,6
two,Nebraska,Decision influencer,IncludeG15,Yes,40,78
two,Nebraska,Farmer,IncludeG15,No,33,33
two,Nebraska,Farmer,IncludeG15,Not sure,13,13
two,Nebraska,Farmer,IncludeG15,Yes,53,54
two,Wisconsin,Decision influencer,IncludeG15,No,7,29
two,Wisconsin,Decision influencer,IncludeG15,Not sure,2,8
two,Wisconsin,Decision influencer,IncludeG15,Yes,15,62
two,Wisconsin,Farmer,IncludeG15,No,25,66
two,Wisconsin,Farmer,IncludeG15,Not sure,2,5
two,Wisconsin,Farmer,IncludeG15,Yes,11,29
two,Nebraska,Decision influencer,Neigh,No,40,73
two,Nebraska,Decision influencer,Neigh,Not sure,6,11
two,Nebraska,Decision influencer,Neigh,Yes,9,16
two,Nebraska,Farmer,Neigh,No,88,85
two,Nebraska,Farmer,Neigh,Not sure,10,10
two,Nebraska,Farmer,Neigh,Yes,5,5
two,Wisconsin,Decision influencer,Neigh,No,23,79
two,Wisconsin,Decision influencer,Neigh,Not sure,5,17
two,Wisconsin,Decision influencer,Neigh,Yes,1,3
two,Wisconsin,Farmer,Neigh,No,43,98
two,Wisconsin,Farmer,Neigh,Yes,1,2
two,Nebraska,Decision influencer,ImpWC,No,4,7
two,Nebraska,Decision influencer,ImpWC,Yes,52,93
two,Nebraska,Farmer,ImpWC,No,18,17
two,Nebraska,Farmer,ImpWC,Yes,89,83
two,Wisconsin,Decision influencer,ImpWC,No,8,25
two,Wisconsin,Decision influencer,ImpWC,Yes,24,75
two,Wisconsin,Farmer,ImpWC,No,16,34
two,Wisconsin,Farmer,ImpWC,Yes,31,66
three,Nebraska,Decision influencer,Own,No,27,53
three,Nebraska,Decision influencer,Own,Yes,24,47
three,Nebraska,Farmer,Own,No,73,51
three,Nebraska,Farmer,Own,Yes,70,49
three,Wisconsin,Decision influencer,Own,No,24,77
three,Wisconsin,Decision influencer,Own,Yes,7,23
three,Wisconsin,Farmer,Own,No,41,82
three,Wisconsin,Farmer,Own,Yes,9,18
three,Nebraska,Decision influencer,FileComp,No,44,94
three,Nebraska,Decision influencer,FileComp,Yes,3,6
three,Nebraska,Farmer,FileComp,No,119,97
three,Nebraska,Farmer,FileComp,Yes,4,3
three,Wisconsin,Decision influencer,FileComp,No,26,100
three,Wisconsin,Farmer,FileComp,No,41,100
three,Nebraska,Decision influencer,yield,No,32,80
three,Nebraska,Decision influencer,yield,Yes,8,20
three,Nebraska,Farmer,yield,No,49,57
three,Nebraska,Farmer,yield,Yes,37,43
three,Wisconsin,Decision influencer,yield,No,18,86
three,Wisconsin,Decision influencer,yield,Yes,3,14
three,Wisconsin,Farmer,yield,No,22,73
three,Wisconsin,Farmer,yield,Yes,8,27
three,Nebraska,Decision influencer,KeepXtend,No,6,10
three,Nebraska,Decision influencer,KeepXtend,Yes,57,90
three,Nebraska,Farmer,KeepXtend,No,33,16
three,Nebraska,Farmer,KeepXtend,Yes,171,84
three,Wisconsin,Decision influencer,KeepXtend,No,3,8
three,Wisconsin,Decision influencer,KeepXtend,Yes,37,92
three,Wisconsin,Farmer,KeepXtend,No,10,12
three,Wisconsin,Farmer,KeepXtend,Yes,71,88
one,Nebraska,Decision influencer,OwnSpr,No,32,48
one,Nebraska,Decision influencer,OwnSpr,Yes,35,52
one,Nebraska,Farmer,OwnSpr,No,53,22
one,Nebraska,Farmer,OwnSpr,Yes,189,78
one,Wisconsin,Decision influencer,OwnSpr,No,18,38
one,Wisconsin,Decision influencer,OwnSpr,Yes,29,62
one,Wisconsin,Farmer,OwnSpr,No,22,22
one,Wisconsin,Farmer,OwnSpr,Yes,76,78
one,Nebraska,Decision influencer,UsePRE,No,2,3
one,Nebraska,Decision influencer,UsePRE,Not sure,2,3
one,Nebraska,Decision influencer,UsePRE,Yes,62,94
one,Nebraska,Farmer,UsePRE,No,17,7
one,Nebraska,Farmer,UsePRE,Not sure,4,2
one,Nebraska,Farmer,UsePRE,Yes,220,91
one,Wisconsin,Decision influencer,UsePRE,No,7,15
one,Wisconsin,Decision influencer,UsePRE,Not sure,5,10
one,Wisconsin,Decision influencer,UsePRE,Yes,36,75
one,Wisconsin,Farmer,UsePRE,No,27,27
one,Wisconsin,Farmer,UsePRE,Not sure,2,2
one,Wisconsin,Farmer,UsePRE,Yes,70,71
before,Nebraska,Decision influencer,UsePRE,No,2,3
before,Nebraska,Decision influencer,UsePRE,Not sure,2,3
before,Nebraska,Decision influencer,UsePRE,Yes,62,94
before,Nebraska,Farmer,UsePRE,No,17,7
before,Nebraska,Farmer,UsePRE,Not sure,4,2
before,Nebraska,Farmer,UsePRE,Yes,220,91
before,Wisconsin,Decision influencer,UsePRE,No,7,15
before,Wisconsin,Decision influencer,UsePRE,Not sure,5,10
before,Wisconsin,Decision influencer,UsePRE,Yes,36,75
before,Wisconsin,Farmer,UsePRE,No,27,27
before,Wisconsin,Farmer,UsePRE,Not sure,2,2
before,Wisconsin,Farmer,UsePRE,Yes,70,71
before,Nebraska,Decision influencer,OwnSpr,No,32,48
before,Nebraska,Decision influencer,OwnSpr,Yes,35,52
before,Nebraska,Farmer,OwnSpr,No,53,22
before,Nebraska,Farmer,OwnSpr,Yes,189,78
before,Wisconsin,Decision influencer,OwnSpr,No,18,38
before,Wisconsin,Decision influencer,OwnSpr,Yes,29,62
before,Wisconsin,Farmer,OwnSpr,No,22,22
before,Wisconsin,Farmer,OwnSpr,Yes,76,78